answer,method,low_runs,shortlist_size,certified_candidates,reference_preferred_count,preferred_retained,recall,reference_winner_retained,zero_preferred_retained,runtime_ms
ABSTAINING,low_median,150,6,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_median,150,7,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_median,150,8,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_gold,150,4,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_gold,150,5,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_gold,150,6,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_gold,150,7,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_gold,150,8,10,3,3,1,true,false,4697.4564543
ABSTAINING,band_aware,150,4,10,3,2,0.6666666666666666,true,false,4697.4564543
ABSTAINING,band_aware,150,5,10,3,3,1,true,false,4697.4564543
ABSTAINING,band_aware,150,6,10,3,3,1,true,false,4697.4564543
ABSTAINING,band_aware,150,7,10,3,3,1,true,false,4697.4564543
ABSTAINING,band_aware,150,8,10,3,3,1,true,false,4697.4564543
ABSTAINING,confidence_aware,150,4,10,3,2,0.6666666666666666,true,false,4697.4564543
ABSTAINING,confidence_aware,150,5,10,3,3,1,true,false,4697.4564543
ABSTAINING,confidence_aware,150,6,10,3,3,1,true,false,4697.4564543
ABSTAINING,confidence_aware,150,7,10,3,3,1,true,false,4697.4564543
ABSTAINING,confidence_aware,150,8,10,3,3,1,true,false,4697.4564543
ABSTAINING,hybrid_regular_cheap,150,4,10,3,2,0.6666666666666666,true,false,4697.4564543
ABSTAINING,hybrid_regular_cheap,150,5,10,3,3,1,true,false,4697.4564543
ABSTAINING,hybrid_regular_cheap,150,6,10,3,3,1,true,false,4697.4564543
ABSTAINING,hybrid_regular_cheap,150,7,10,3,3,1,true,false,4697.4564543
ABSTAINING,hybrid_regular_cheap,150,8,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_mean,250,4,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,low_mean,250,5,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,low_mean,250,6,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,low_mean,250,7,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_mean,250,8,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_median,250,4,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,low_median,250,5,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_median,250,6,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_median,250,7,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_median,250,8,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_gold,250,4,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_gold,250,5,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_gold,250,6,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_gold,250,7,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_gold,250,8,10,3,3,1,true,false,7829.0940905
ABSTAINING,band_aware,250,4,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,band_aware,250,5,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,band_aware,250,6,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,band_aware,250,7,10,3,3,1,true,false,7829.0940905
ABSTAINING,band_aware,250,8,10,3,3,1,true,false,7829.0940905
ABSTAINING,confidence_aware,250,4,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,confidence_aware,250,5,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,confidence_aware,250,6,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,confidence_aware,250,7,10,3,3,1,true,false,7829.0940905
ABSTAINING,confidence_aware,250,8,10,3,3,1,true,false,7829.0940905
ABSTAINING,hybrid_regular_cheap,250,4,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,hybrid_regular_cheap,250,5,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,hybrid_regular_cheap,250,6,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTAINING,hybrid_regular_cheap,250,7,10,3,3,1,true,false,7829.0940905
ABSTAINING,hybrid_regular_cheap,250,8,10,3,3,1,true,false,7829.0940905
ABSTAINING,low_mean_frontier,25,5,10,3,2,0.6666666666666666,true,false,782.90940905
ABSTAINING,low_mean_frontier,50,5,10,3,2,0.6666666666666666,false,false,1565.8188181
ABSTAINING,low_mean_frontier,75,5,10,3,2,0.6666666666666666,false,false,2348.72822715
ABSTAINING,low_mean_frontier,100,5,10,3,2,0.6666666666666666,false,false,3131.6376362
ABSTAINING,low_mean_frontier,150,5,10,3,3,1,true,false,4697.4564543
ABSTAINING,low_mean_frontier,250,5,10,3,2,0.6666666666666666,true,false,7829.0940905
ABSTENTION,low_mean,25,4,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,low_mean,25,5,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_mean,25,6,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_mean,25,7,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_mean,25,8,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_median,25,4,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,low_median,25,5,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,low_median,25,6,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_median,25,7,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_median,25,8,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_gold,25,4,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,low_gold,25,5,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,low_gold,25,6,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,low_gold,25,7,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_gold,25,8,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,band_aware,25,4,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,band_aware,25,5,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,band_aware,25,6,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,band_aware,25,7,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,band_aware,25,8,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,confidence_aware,25,4,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,confidence_aware,25,5,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,confidence_aware,25,6,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,confidence_aware,25,7,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,confidence_aware,25,8,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,hybrid_regular_cheap,25,4,10,3,1,0.3333333333333333,false,false,734.3887903
ABSTENTION,hybrid_regular_cheap,25,5,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,hybrid_regular_cheap,25,6,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,hybrid_regular_cheap,25,7,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,hybrid_regular_cheap,25,8,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_mean,50,4,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,low_mean,50,5,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,low_mean,50,6,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,low_mean,50,7,10,3,3,1,true,false,1468.7775806
ABSTENTION,low_mean,50,8,10,3,3,1,true,false,1468.7775806
ABSTENTION,low_median,50,4,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,low_median,50,5,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,low_median,50,6,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,low_median,50,7,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,low_median,50,8,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,low_gold,50,4,10,3,2,0.6666666666666666,true,false,1468.7775806
ABSTENTION,low_gold,50,5,10,3,2,0.6666666666666666,true,false,1468.7775806
ABSTENTION,low_gold,50,6,10,3,2,0.6666666666666666,true,false,1468.7775806
ABSTENTION,low_gold,50,7,10,3,2,0.6666666666666666,true,false,1468.7775806
ABSTENTION,low_gold,50,8,10,3,2,0.6666666666666666,true,false,1468.7775806
ABSTENTION,band_aware,50,4,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,band_aware,50,5,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,band_aware,50,6,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,band_aware,50,7,10,3,3,1,true,false,1468.7775806
ABSTENTION,band_aware,50,8,10,3,3,1,true,false,1468.7775806
ABSTENTION,confidence_aware,50,4,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,confidence_aware,50,5,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,confidence_aware,50,6,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,confidence_aware,50,7,10,3,3,1,true,false,1468.7775806
ABSTENTION,confidence_aware,50,8,10,3,3,1,true,false,1468.7775806
ABSTENTION,hybrid_regular_cheap,50,4,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,hybrid_regular_cheap,50,5,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,hybrid_regular_cheap,50,6,10,3,2,0.6666666666666666,false,false,1468.7775806
ABSTENTION,hybrid_regular_cheap,50,7,10,3,3,1,true,false,1468.7775806
ABSTENTION,hybrid_regular_cheap,50,8,10,3,3,1,true,false,1468.7775806
ABSTENTION,low_mean,75,4,10,3,1,0.3333333333333333,false,false,2203.1663709
ABSTENTION,low_mean,75,5,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,low_mean,75,6,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,low_mean,75,7,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,low_mean,75,8,10,3,3,1,true,false,2203.1663709
ABSTENTION,low_median,75,4,10,3,1,0.3333333333333333,false,false,2203.1663709
ABSTENTION,low_median,75,5,10,3,1,0.3333333333333333,false,false,2203.1663709
ABSTENTION,low_median,75,6,10,3,1,0.3333333333333333,false,false,2203.1663709
ABSTENTION,low_median,75,7,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,low_median,75,8,10,3,3,1,true,false,2203.1663709
ABSTENTION,low_gold,75,4,10,3,2,0.6666666666666666,true,false,2203.1663709
ABSTENTION,low_gold,75,5,10,3,2,0.6666666666666666,true,false,2203.1663709
ABSTENTION,low_gold,75,6,10,3,2,0.6666666666666666,true,false,2203.1663709
ABSTENTION,low_gold,75,7,10,3,2,0.6666666666666666,true,false,2203.1663709
ABSTENTION,low_gold,75,8,10,3,2,0.6666666666666666,true,false,2203.1663709
ABSTENTION,band_aware,75,4,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,band_aware,75,5,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,band_aware,75,6,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,band_aware,75,7,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,band_aware,75,8,10,3,3,1,true,false,2203.1663709
ABSTENTION,confidence_aware,75,4,10,3,1,0.3333333333333333,false,false,2203.1663709
ABSTENTION,confidence_aware,75,5,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,confidence_aware,75,6,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,confidence_aware,75,7,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,confidence_aware,75,8,10,3,3,1,true,false,2203.1663709
ABSTENTION,hybrid_regular_cheap,75,4,10,3,1,0.3333333333333333,false,false,2203.1663709
ABSTENTION,hybrid_regular_cheap,75,5,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,hybrid_regular_cheap,75,6,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,hybrid_regular_cheap,75,7,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,hybrid_regular_cheap,75,8,10,3,3,1,true,false,2203.1663709
ABSTENTION,low_mean,100,4,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,low_mean,100,5,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,low_mean,100,6,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,low_mean,100,7,10,3,3,1,true,false,2937.5551612
ABSTENTION,low_mean,100,8,10,3,3,1,true,false,2937.5551612
ABSTENTION,low_median,100,4,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,low_median,100,5,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,low_median,100,6,10,3,2,0.6666666666666666,false,false,2937.5551612
ABSTENTION,low_median,100,7,10,3,3,1,true,false,2937.5551612
ABSTENTION,low_median,100,8,10,3,3,1,true,false,2937.5551612
ABSTENTION,low_gold,100,4,10,3,1,0.3333333333333333,true,false,2937.5551612
ABSTENTION,low_gold,100,5,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,low_gold,100,6,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,low_gold,100,7,10,3,3,1,true,false,2937.5551612
ABSTENTION,low_gold,100,8,10,3,3,1,true,false,2937.5551612
ABSTENTION,band_aware,100,4,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,band_aware,100,5,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,band_aware,100,6,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,band_aware,100,7,10,3,3,1,true,false,2937.5551612
ABSTENTION,band_aware,100,8,10,3,3,1,true,false,2937.5551612
ABSTENTION,confidence_aware,100,4,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,confidence_aware,100,5,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,confidence_aware,100,6,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,confidence_aware,100,7,10,3,3,1,true,false,2937.5551612
ABSTENTION,confidence_aware,100,8,10,3,3,1,true,false,2937.5551612
ABSTENTION,hybrid_regular_cheap,100,4,10,3,1,0.3333333333333333,false,false,2937.5551612
ABSTENTION,hybrid_regular_cheap,100,5,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,hybrid_regular_cheap,100,6,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,hybrid_regular_cheap,100,7,10,3,3,1,true,false,2937.5551612
ABSTENTION,hybrid_regular_cheap,100,8,10,3,3,1,true,false,2937.5551612
ABSTENTION,low_mean,150,4,10,3,1,0.3333333333333333,false,false,4406.3327418
ABSTENTION,low_mean,150,5,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,low_mean,150,6,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,low_mean,150,7,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,low_mean,150,8,10,3,3,1,true,false,4406.3327418
ABSTENTION,low_median,150,4,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_median,150,5,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_median,150,6,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_median,150,7,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_median,150,8,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_gold,150,4,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_gold,150,5,10,3,2,0.6666666666666666,false,false,4406.3327418
ABSTENTION,low_gold,150,6,10,3,3,1,true,false,4406.3327418
ABSTENTION,low_gold,150,7,10,3,3,1,true,false,4406.3327418
ABSTENTION,low_gold,150,8,10,3,3,1,true,false,4406.3327418
ABSTENTION,band_aware,150,4,10,3,1,0.3333333333333333,false,false,4406.3327418
ABSTENTION,band_aware,150,5,10,3,1,0.3333333333333333,false,false,4406.3327418
ABSTENTION,band_aware,150,6,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,band_aware,150,7,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,band_aware,150,8,10,3,3,1,true,false,4406.3327418
ABSTENTION,confidence_aware,150,4,10,3,1,0.3333333333333333,false,false,4406.3327418
ABSTENTION,confidence_aware,150,5,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,confidence_aware,150,6,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,confidence_aware,150,7,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,confidence_aware,150,8,10,3,3,1,true,false,4406.3327418
ABSTENTION,hybrid_regular_cheap,150,4,10,3,1,0.3333333333333333,false,false,4406.3327418
ABSTENTION,hybrid_regular_cheap,150,5,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,hybrid_regular_cheap,150,6,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,hybrid_regular_cheap,150,7,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,hybrid_regular_cheap,150,8,10,3,3,1,true,false,4406.3327418
ABSTENTION,low_mean,250,4,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,low_mean,250,5,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,low_mean,250,6,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,low_mean,250,7,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,low_mean,250,8,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,low_median,250,4,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,low_median,250,5,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,low_median,250,6,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,low_median,250,7,10,3,2,0.6666666666666666,false,false,7343.887903
ABSTENTION,low_median,250,8,10,3,2,0.6666666666666666,false,false,7343.887903
ABSTENTION,low_gold,250,4,10,3,3,1,true,false,7343.887903
ABSTENTION,low_gold,250,5,10,3,3,1,true,false,7343.887903
ABSTENTION,low_gold,250,6,10,3,3,1,true,false,7343.887903
ABSTENTION,low_gold,250,7,10,3,3,1,true,false,7343.887903
ABSTENTION,low_gold,250,8,10,3,3,1,true,false,7343.887903
ABSTENTION,band_aware,250,4,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,band_aware,250,5,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,band_aware,250,6,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,band_aware,250,7,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,band_aware,250,8,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,confidence_aware,250,4,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,confidence_aware,250,5,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,confidence_aware,250,6,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,confidence_aware,250,7,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,confidence_aware,250,8,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,hybrid_regular_cheap,250,4,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,hybrid_regular_cheap,250,5,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTENTION,hybrid_regular_cheap,250,6,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,hybrid_regular_cheap,250,7,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,hybrid_regular_cheap,250,8,10,3,2,0.6666666666666666,true,false,7343.887903
ABSTENTION,low_mean_frontier,25,5,10,3,2,0.6666666666666666,false,false,734.3887903
ABSTENTION,low_mean_frontier,50,5,10,3,1,0.3333333333333333,false,false,1468.7775806
ABSTENTION,low_mean_frontier,75,5,10,3,2,0.6666666666666666,false,false,2203.1663709
ABSTENTION,low_mean_frontier,100,5,10,3,2,0.6666666666666666,true,false,2937.5551612
ABSTENTION,low_mean_frontier,150,5,10,3,2,0.6666666666666666,true,false,4406.3327418
ABSTENTION,low_mean_frontier,250,5,10,3,1,0.3333333333333333,false,false,7343.887903
ABSTINENCE,low_mean,25,4,10,3,1,0.3333333333333333,false,false,747.3279682
ABSTINENCE,low_mean,25,5,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,low_mean,25,6,10,3,3,1,true,false,747.3279682
ABSTINENCE,low_mean,25,7,10,3,3,1,true,false,747.3279682
ABSTINENCE,low_mean,25,8,10,3,3,1,true,false,747.3279682
ABSTINENCE,low_median,25,4,10,3,1,0.3333333333333333,false,false,747.3279682
ABSTINENCE,low_median,25,5,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,low_median,25,6,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,low_median,25,7,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,low_median,25,8,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,low_gold,25,4,10,3,2,0.6666666666666666,true,false,747.3279682
ABSTINENCE,low_gold,25,5,10,3,2,0.6666666666666666,true,false,747.3279682
ABSTINENCE,low_gold,25,6,10,3,2,0.6666666666666666,true,false,747.3279682
ABSTINENCE,low_gold,25,7,10,3,3,1,true,false,747.3279682
ABSTINENCE,low_gold,25,8,10,3,3,1,true,false,747.3279682
ABSTINENCE,band_aware,25,4,10,3,1,0.3333333333333333,false,false,747.3279682
ABSTINENCE,band_aware,25,5,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,band_aware,25,6,10,3,3,1,true,false,747.3279682
ABSTINENCE,band_aware,25,7,10,3,3,1,true,false,747.3279682
ABSTINENCE,band_aware,25,8,10,3,3,1,true,false,747.3279682
ABSTINENCE,confidence_aware,25,4,10,3,1,0.3333333333333333,false,false,747.3279682
ABSTINENCE,confidence_aware,25,5,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,confidence_aware,25,6,10,3,3,1,true,false,747.3279682
ABSTINENCE,confidence_aware,25,7,10,3,3,1,true,false,747.3279682
ABSTINENCE,confidence_aware,25,8,10,3,3,1,true,false,747.3279682
ABSTINENCE,hybrid_regular_cheap,25,4,10,3,1,0.3333333333333333,false,false,747.3279682
ABSTINENCE,hybrid_regular_cheap,25,5,10,3,2,0.6666666666666666,false,false,747.3279682
ABSTINENCE,hybrid_regular_cheap,25,6,10,3,3,1,true,false,747.3279682
ABSTINENCE,hybrid_regular_cheap,25,7,10,3,3,1,true,false,747.3279682
ABSTINENCE,hybrid_regular_cheap,25,8,10,3,3,1,true,false,747.3279682
ABSTINENCE,low_mean,50,4,10,3,3,1,true,false,1494.6559364
